[2022-10-19 10:21:33] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@25b52284
[2022-10-19 10:21:33] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:40] INFO [http-nio-8080-exec-2] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@25b52284
[2022-10-19 10:21:40] INFO [http-nio-8080-exec-2] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:44] INFO [http-nio-8080-exec-1] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@25b52284
[2022-10-19 10:21:44] INFO [http-nio-8080-exec-1] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:44] INFO [http-nio-8080-exec-3] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@25b52284
[2022-10-19 10:21:44] INFO [http-nio-8080-exec-3] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:50] INFO [http-nio-8080-exec-4] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@25b52284
[2022-10-19 10:21:50] INFO [http-nio-8080-exec-4] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:50] INFO [http-nio-8080-exec-5] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@25b52284
[2022-10-19 10:21:50] INFO [http-nio-8080-exec-5] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:53] INFO [http-nio-8080-exec-6] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@25b52284
[2022-10-19 10:21:53] INFO [http-nio-8080-exec-6] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:21:53] INFO [http-nio-8080-exec-7] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@25b52284
[2022-10-19 10:21:53] INFO [http-nio-8080-exec-7] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:24:03] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@25b52284
[2022-10-19 10:24:03] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:24:03] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@25b52284
